time,Max,Mean,Min,P_5,P_95
2001-10-01,120.807,85.58054853019405,70.40961456298828,72.79510879516602,97.47333499999999
2001-11-01,171.89825439453125,150.87118429054314,140.538,147.86585,154.14525093383787
2001-12-01,283.2345886230469,275.5318256711883,253.66,268.664,281.7525863647461
2002-01-01,335.50994873046875,320.69871489957495,237.6575469970703,308.88075,333.073681640625
2002-02-01,330.70184326171875,319.79142772643536,260.2118225097656,312.1065,328.4186889648438
2002-03-01,307.9944152832031,234.8580625486296,226.7978515625,229.96689682006837,239.16445
2002-04-01,250.5226593017578,241.87704947886894,212.362,235.771685,247.2965431213379
2002-05-01,243.34759521484375,233.96064377108934,205.23590087890625,224.98420499999997,240.96177902221677
2002-06-01,209.066,200.54101585182244,188.368,197.75065,202.66371158447265
2002-07-01,213.5091552734375,172.93514283293436,168.801,170.42127083740235,175.39109439697268
2002-08-01,242.281,234.99087297219353,175.287841796875,232.40953674316404,238.47315000000003
2002-09-01,315.00262451171875,306.18763464256267,282.557,297.717,313.57470855712893
2002-10-01,333.2033386230469,317.7528032881574,313.615,315.7233627319336,319.7810225708008
2002-11-01,428.9035949707031,301.14068090671446,283.30035400390625,285.39357299804686,316.1681
2002-12-01,364.606,357.7078998581799,349.8439025878906,354.97048034667966,360.54515000000004
2003-01-01,378.533935546875,357.6075628091457,348.19,354.21675,360.64083709716795
2003-02-01,374.211,354.04753800803087,344.6791687011719,347.37503814697266,360.26045
2003-03-01,375.8454895019531,337.42431089819934,330.0046081542969,331.85706329345703,342.7979
2003-04-01,378.42083740234375,360.40834707418344,354.1070861816406,356.6490234375,363.35040000000004
2003-05-01,355.799560546875,343.0867806634671,269.4391174316406,330.5816,354.6969116210937
2003-06-01,205.5421,189.9807876040077,184.3707,186.17863693237302,195.12278500000002
2003-07-01,197.503,172.18428426736963,165.28343200683594,167.0236083984375,178.13
2003-08-01,220.89212036132812,215.6120041285568,184.77001953125,211.60565000000003,219.6622657775879
2003-09-01,283.4993591308594,275.41273056600903,261.63,270.28,281.0918167114258
2003-10-01,372.9446716308594,359.53788617985424,304.0024108886719,349.54875,370.584538269043
2003-11-01,375.55535888671875,363.4685515434452,325.73,353.09614999999997,373.596435546875
2003-12-01,419.05322265625,410.8804099607388,355.01861572265625,407.44669999999996,414.19879760742185
2004-01-01,358.779,353.71737387804444,341.82489013671875,351.1709777832031,355.8985547973633
2004-02-01,357.894,339.3770036368022,329.54254150390625,331.810693359375,346.47894999999994
2004-03-01,385.081,371.4387582253558,361.9071960449219,365.77187194824216,376.17179999999996
2004-04-01,444.4236145019531,429.92711023941627,386.423,416.90055,442.0507583618164
2004-05-01,344.1741943359375,291.4929210969257,282.151,286.4583,295.6011993408203
2004-06-01,189.482,176.55964398371998,168.592,173.69047470092772,180.23515
2004-07-01,171.29452514648438,164.2939165150712,159.748,161.88705,166.75935440063478
2004-08-01,206.81875610351562,173.4515188963356,164.68637084960938,170.49766006469724,176.19889999999998
2004-09-01,307.71490478515625,179.38991789580547,164.92059326171875,168.23736267089845,189.31470000000002
2004-10-01,311.5364990234375,271.60344312764005,262.6999206542969,264.5674758911133,278.57585
2004-11-01,528.7705078125,498.1559665135329,382.312,470.1031,526.0059967041016
2004-12-01,594.2608032226562,559.3284753358417,399.823,526.0940499999999,591.5386352539062
2005-01-01,406.3666076660156,396.84682857656065,375.827,390.61530000000005,403.88415832519536
2005-02-01,385.1803894042969,371.8318135296582,364.8592529296875,368.2420776367187,375.1779
2005-03-01,439.6058044433594,425.2702598678468,377.862,411.68985,438.1819778442383
2005-04-01,525.6619262695312,496.11741930904225,337.4855651855469,467.5976,523.5824371337891
2005-05-01,291.4786071777344,273.6467529428376,219.057,259.95555,287.41136932373047
2005-06-01,231.9179229736328,103.06026984498553,83.27790069580078,85.31223526000977,120.99615
2005-07-01,228.77484130859375,68.30583789469405,41.827613830566406,44.86459865570068,90.55425
2005-08-01,218.3213348388672,134.77150256484111,117.02620697021484,120.43672370910645,148.0334
2005-09-01,317.0112609863281,297.62961682228166,177.5892333984375,280.7113,314.7561950683594
2005-10-01,352.34161376953125,342.9597083536785,266.43060302734375,337.762,349.5046447753906
2005-11-01,406.76324462890625,400.73494117401833,304.6440124511719,396.9072,404.7772262573242
2005-12-01,432.603,423.91997288401524,377.5741882324219,419.4549896240234,429.11435
2006-01-01,482.59613037109375,465.9023324004387,373.3438720703125,451.25485,481.29243621826174
2006-02-01,484.72515869140625,462.6395106816489,373.288,446.2421,478.8811325073242
2006-03-01,419.6029968261719,408.8645545698956,337.58038330078125,400.57015,417.8408493041992
2006-04-01,342.9687194824219,324.7941678107035,246.9176483154297,312.0081,337.54124755859374
2006-05-01,136.5958251953125,128.73793106508325,107.69099426269531,125.142765,133.58477554321288
2006-06-01,50.34229999999997,29.772620856841826,24.96625518798828,26.39198112487793,33.483555
2006-07-01,41.58974838256836,18.82827684334545,15.780158996582031,16.98883,21.638853073120117
2006-08-01,68.83369445800781,61.59933277215726,54.799,57.707865,65.61776161193848
2006-09-01,109.73065948486328,96.23961121404379,74.72999999999999,89.318095,103.73588066101074
2006-10-01,167.99264526367188,151.0315584358773,87.5977,138.122525,164.3212692260742
2006-11-01,263.6177978515625,238.72722861154458,146.9267,214.77735,262.19261474609374
2006-12-01,429.7345886230469,382.9302056527487,194.104,343.32685000000004,423.35977325439455
2007-01-01,353.3529968261719,339.46623647401407,302.002,328.42265,350.21021575927733
2007-02-01,422.10723876953125,400.9225647503616,288.5870056152344,383.91364999999996,419.4506500244141
2007-03-01,370.8623046875,353.38637543171217,291.776,338.16565,368.4975296020508
2007-04-01,275.56622314453125,256.573605450539,184.015,238.9216,274.25386505126954
2007-05-01,221.04693603515625,196.88101486662586,98.2173,176.52598,218.15308990478513
2007-06-01,57.874595642089844,27.350550803480843,21.51898956298828,22.578049659729004,32.08666500000032
2007-07-01,43.225199999999994,37.62394105181812,25.081132888793945,36.69276008605957,39.378985
2007-08-01,146.82205200195312,123.72846033186242,38.7857,104.4177,144.53014755249023
2007-09-01,155.88319396972656,118.00688035992874,75.09619999999997,105.19216,129.61952590942383
2007-10-01,220.76461791992188,196.4158705724948,88.1925,177.0438,217.25418930053712
2007-11-01,275.4131774902344,245.93060505688686,121.756,219.68914999999998,273.3422790527344
2007-12-01,290.6588134765625,271.37484192688504,212.425,255.99935000000002,286.7253112792969
2008-01-01,350.31,335.1113957459989,309.9015808105469,330.34510192871096,341.6579
2008-02-01,399.7304382324219,392.0087532189841,311.61041259765625,385.1429499999999,398.32935943603513
2008-03-01,350.2257080078125,332.17560395875034,274.37,315.28735,348.1162399291992
2008-04-01,229.3505859375,185.40367442458245,175.00466918945312,179.99139556884765,191.55110000000002
2008-05-01,71.69148254394531,65.90897751818402,56.8377,63.63792762054443,69.33570289611816
2008-06-01,37.5993,14.116009309970277,5.594779014587402,7.294287371635437,19.90165000000001
2008-07-01,46.411199999999994,14.424874945852237,3.474454164505005,4.879066371917725,23.54625
2008-08-01,77.06,21.38542414942409,3.7997095584869385,6.44181342124939,36.4063
2008-09-01,93.67739999999999,32.2736118119961,15.915582656860352,17.446647262573244,47.0058
2008-10-01,111.5797,57.18327590612396,42.59234619140625,44.954014396667475,68.93055
2008-11-01,152.292,148.43521317458737,94.72110748291016,143.8306,151.2584991455078
2008-12-01,242.165,158.83626767687304,137.6913299560547,139.11043014526368,179.8884
2009-01-01,256.44830322265625,223.6583403079646,212.48342895507812,214.94579467773437,232.8006
2009-02-01,267.259,242.817044701305,236.305419921875,237.82213287353517,249.23930000000001
2009-03-01,280.031,144.32073739351108,114.27973175048828,115.52704620361328,174.6347
2009-04-01,224.439,92.75595576918687,63.887359619140625,66.78283767700195,119.1194
2009-05-01,113.40289306640625,98.86764744858144,93.54979999999999,96.490635,101.61090838623048
2009-06-01,83.4657211303711,59.651237128901265,54.3986701965332,57.02811412811279,62.29538999999998
2009-07-01,78.77661895751953,32.728760556824206,27.56712532043457,29.84050693511963,34.54866034240723
2009-08-01,96.2624,86.29473726233509,70.00035095214844,80.85729446411133,92.0359
2009-09-01,235.7113800048828,215.74468721755105,100.14755249023438,199.15468500000003,232.6491828918457
2009-10-01,214.66909790039062,203.70728220353786,128.82852172851562,196.74275,212.11398315429688
2009-11-01,207.84140000000002,129.7094204980122,110.65925598144531,112.25363960266114,146.92235
2009-12-01,251.9532928466797,130.03745971840948,110.580322265625,112.36846046447754,146.5891
2010-01-01,300.08258056640625,278.13169268749203,268.46,273.9214,283.3156967163086
2010-02-01,310.43304443359375,263.95942306741864,255.99517822265625,258.27473907470704,269.16995
2010-03-01,295.09417724609375,281.3769307216243,262.481,275.97814999999997,287.6478775024414
2010-04-01,314.51336669921875,299.1581110581809,244.252,285.8941,312.78063812255857
2010-05-01,262.0278625488281,244.31852065191484,203.898,232.0601,257.72840270996096
2010-06-01,306.5367126464844,287.52618512260614,178.90347290039062,271.7621,303.62573699951173
2010-07-01,268.44281005859375,256.31113197934565,150.33056640625,246.00565,266.5852706909179
2010-08-01,217.4367,206.56764331799027,179.83995056152344,201.78083724975585,210.86725
2010-09-01,319.9066162109375,266.6414026955706,260.60699462890625,262.1517730712891,271.06759999999997
2010-10-01,346.4512939453125,334.8334874758836,299.5107727050781,326.96365,342.9361999511719
2010-11-01,426.20953369140625,405.3290818411974,352.184,389.74850000000004,419.9451797485351
2010-12-01,437.55670166015625,427.97763959087575,400.614,420.25815,435.5614898681641
2011-01-01,458.53076171875,440.6223550276098,371.125,425.1172,456.59195709228516
2011-02-01,457.35260009765625,439.7765147337877,364.44525146484375,425.4115,455.0123886108398
2011-03-01,400.069,339.7586808079663,325.7642822265625,328.7877532958985,349.94540000000006
2011-04-01,257.6703186035156,184.04419587322946,165.9699249267578,167.49414825439453,199.725
2011-05-01,124.7397,87.9798390555777,74.17170715332031,76.7025032043457,98.99759999999999
2011-06-01,46.335099999999976,27.528391078303894,13.43403434753418,19.568064785003664,34.46144000000001
